[2024-12-11 00:16:41] Creating directory: /app/images/temp
[2024-12-11 00:16:41] Setting directory permissions...
[2024-12-11 00:16:43] Setting directory permissions...
[2024-12-11 00:16:44] Setting directory permissions...
[2024-12-11 00:16:45] Setting directory permissions...
[2024-12-11 00:16:47] Setting directory permissions...
[2024-12-11 00:16:49] Setting directory permissions...
[2024-12-11 00:16:54] Setting directory permissions...
[2024-12-11 00:17:01] Setting directory permissions...
[2024-12-11 00:17:15] Setting directory permissions...
[2024-12-11 00:17:40] Setting directory permissions...
[2024-12-11 00:18:28] Setting directory permissions...
[2024-12-11 00:19:26] Setting directory permissions...
[2024-12-11 00:20:23] Setting directory permissions...
[2024-12-11 00:21:20] Setting directory permissions...
[2024-12-11 00:22:18] Setting directory permissions...
[2024-12-11 00:23:15] Setting directory permissions...
[2024-12-11 00:24:12] Setting directory permissions...
[2024-12-11 00:25:10] Setting directory permissions...
[2024-12-11 00:26:07] Setting directory permissions...
[2024-12-11 00:27:05] Setting directory permissions...
[2024-12-11 00:28:02] Setting directory permissions...
[2024-12-11 00:29:02] Setting directory permissions...
[2024-12-11 00:30:29] Setting directory permissions...
[2024-12-11 00:31:27] Setting directory permissions...
[2024-12-11 00:32:35] Setting directory permissions...
[2024-12-11 00:33:37] Setting directory permissions...
[2024-12-11 00:34:35] Setting directory permissions...
[2024-12-11 00:35:33] Setting directory permissions...
[2024-12-11 00:36:31] Setting directory permissions...
[2024-12-11 00:37:28] Setting directory permissions...
[2024-12-11 00:38:25] Setting directory permissions...
[2024-12-11 00:39:23] Setting directory permissions...
[2024-12-11 00:40:33] Setting directory permissions...
[2024-12-11 00:41:21] Setting directory permissions...
[2024-12-11 00:41:23] Setting directory permissions...
[2024-12-11 00:41:24] Setting directory permissions...
[2024-12-11 00:41:24] Setting directory permissions...
[2024-12-11 00:41:24] Setting directory permissions...
[2024-12-11 00:41:26] Setting directory permissions...
[2024-12-11 00:41:30] Setting directory permissions...
[2024-12-11 00:41:37] Setting directory permissions...
[2024-12-11 00:41:50] Setting directory permissions...
[2024-12-11 00:42:14] Setting directory permissions...
[2024-12-11 00:43:03] Setting directory permissions...
[2024-12-11 00:44:01] Setting directory permissions...
[2024-12-11 00:44:58] Setting directory permissions...
[2024-12-11 00:45:55] Setting directory permissions...
[2024-12-11 00:46:53] Setting directory permissions...
